,text
0,Hay que barbaridad tan barata hasta ñañaras me dió!!!
1,Un saldo de nueve presuntos delincuentes muertos y dos policías heridos dejó un enfrentamiento entre ambos gruposhttps://www.eluniversal.com.mx/estados/enfrentamiento-con-policias-deja-9-muertos-en-saltillo …
2,Vamos a necesitar más vacas...
